index,mz,RT,ionMode,adduct,MS1mz,MS1int,MS2mz,MS2int
1,193.0706,1.76,P,[M+H]+,193.0706;194.0739;195.0773,76494968;6118918;1217659,70.0655;72.081;83.0493;84.07;85.0285;87.0079;93.0335;95.0491;97.0285;101.0597;103.0389;105.0334;105.0447;111.044;113.0596;115.0389;121.0284;129.0546;136.0618;136.0715;137.0661;139.0389;146.0601;146.0812;147.0653;147.0846;148.0754;157.0496;175.0507;175.0776;176.1076;183.4343;192.0879,2908;4234;351229;2599;74284;34269;111820;568544;25319;18799;3284;11301;3630;645223;3198;13260;64543;467024;101029;5772;44761;193352;5323;15055;132792;13715;3983;65352;16958;2920;3767;3246;116678
2,183.1379,9.85,P,[M+H]+,183.1379;184.1412;185.1446,3016534;579256;96602,71.0494;72.0812;72.9374;79.0544;81.07;83.0492;83.0857;85.0283;85.0648;90.9476;91.0542;93.0699;95.0491;95.0856;97.0647;98.9839;99.0804;101.9497;105.0699;107.0854;109.0648;109.1013;111.0805;113.0594;113.9638;118.9673;119.0856;119.9602;121.1012;121.1084;123.0806;123.1168;125.0966;127.0755;131.9741;132.9589;137.0501;137.0597;137.0962;137.1324;137.9711;139.1118;141.0912;141.958;141.9834;145.0297;147.0342;147.1168;155.0699;155.0863;159.9691;160.9873;163.0387;165.0436;165.0911;165.1275;168.093;183.0654;183.0813;183.1012;183.1169,19965;1361;6750;24101;235819;14814;38349;1975;19598;1385;59396;29781;59183;69500;7362;1378;6931;11087;77581;29753;64699;14920;6088;10822;27862;8085;30609;6607;76504;1096;42700;418333;1865;1822;14216;1534;1908;11490;10828;24192;13468;10212;1508;1797;1195;1461;1347;155631;9808;1098;4913;1520;1466;11699;6366;70454;1397;1451;2006;12575;8764
3,256.0812,1.43,P,[M+H]+,256.0814;257.0847;258.0881,3079007;438951;0,70.0655;71.0131;73.0288;76.0969;80.0496;82.0653;84.081;85.0285;86.0965;87.0441;90.5489;96.0443;97.0286;103.0391;114.0551;115.0391;124.0394;133.0496;140.107;155.0818;166.086;181.061;190.0486;226.0713;228.1025;233.0154;238.108;251.0244;256.0297;256.0795;256.1169;256.1551;256.2636,948;5557;25573;686;5000;1215;3199;26870;1340;7083;769;4379;10639;5269;1819;20496;867329;33538;1227;9293;915;943;1472;1957;1432;1115;1192;1260;1733;6408;8052;5263;5175
4,223.0965,10.35,P,[M+H]+,223.0965;224.0998;225.1032,1392306;260166;0,71.0496;74.9751;79.0544;81.0337;81.07;81.8014;83.0494;83.0857;85.065;89.0386;91.0542;92.0577;93.0699;95.0491;95.0856;97.023;97.0649;103.0544;105.07;106.0283;107.0493;107.0854;109.0651;109.1013;109.4267;111.0443;111.0803;113.0596;117.0335;117.07;119.0491;119.0855;120.0527;121.0648;121.1012;123.0805;123.1169;125.0599;126.3442;129.056;131.0859;133.1012;133.1472;134.0362;135.044;135.0552;135.0808;135.1169;136.0478;137.0964;139.1123;143.0726;145.0285;145.1011;147.117;149.0602;149.096;152.0774;153.0551;156.0621;159.1168;162.0306;163.0392;163.112;163.1481;164.0429;165.0673;165.0905;165.1276;165.5691;169.1047;171.7237;174.0732;175.0885;177.0547;177.1275;179.0835;179.1258;184.0933;185.1003;186.055;187.112;187.1482;191.1016;191.6019;195.0655;200.1066;205.1222;205.1587;223.0615;223.0946;223.1121;223.1317;223.1517;223.1696,592;927;5560;7918;9718;602;2442;1092;995;10353;6189;932;6631;5868;8419;4263;910;917;3608;779;3116;5862;1312;5210;649;1358;773;891;34830;3040;2994;4575;2557;2941;5071;8124;959;1068;680;751;4024;1469;673;3038;6501;850;2647;3896;2801;1016;656;2458;124151;3150;2863;17455;3059;902;1026;2775;3178;716;10838;3515;867;739;3012;787;1407;665;830;650;1485;1008;218835;3990;683;3164;779;582;1476;2495;857;2971;687;1049;1444;2931;1166;1446;4241;5981;5768;989;2455
5,256.129,2.3,P,[M+H]+,256.129;257.1323;258.1357,2093504;286700;194023,70.0654;71.0603;73.0284;81.0448;82.0651;83.0605;84.0809;85.0286;86.0601;87.0441;95.6954;96.0441;97.0012;97.0761;98.0597;99.0917;100.0396;102.055;109.0398;109.076;111.0917;113.0233;113.964;114.055;119.0188;121.0181;121.0645;123.055;124.0393;124.0588;126.0548;127.0502;127.0866;133.0489;135.008;137.0712;142.0349;142.0865;143.0812;148.0752;155.0815;166.0981;186.0757;209.7784;210.0767;210.1238;212.1392;215.0526;228.1343;256.1294,6229;807;766;10039;2711;56992;1262;1559;35239;1425;715;710;662;39425;793;16055;1151;4922;5609;16656;7441;3177;746;180181;3045;644;629;1368;21964;2835;1231;63756;33667;814;869;3156;3591;895;791;1271;530304;868;6295;599;846;4252;1204;3003;1140;146891
6,219.1744,12.53,P,[M+H]+,219.1743;220.1777;221.181,2389393;457838;0,71.5162;79.0544;81.07;83.0854;86.1281;91.0544;93.0698;95.0493;95.0855;97.0649;105.07;107.0491;107.0855;109.0642;109.1013;116.9851;117.0698;119.0486;119.0855;120.5206;120.9984;121.0647;121.1011;123.0804;129.0697;131.0857;133.1012;135.0807;135.1167;137.0959;145.1008;146.1091;147.1169;149.0973;149.1327;151.9482;152.7144;159.117;161.0961;161.1327;163.1117;163.1484;173.1327;177.1274;179.1435;190.2251;200.5362;201.1638;203.1432;219.1746,737;6767;6223;1352;944;8702;10698;2000;7792;1307;8730;3928;10657;1010;2059;948;5035;839;13736;924;1350;4204;13187;5495;1419;9778;11143;10682;10373;1129;10012;1608;1174;1573;4148;969;1011;6315;1225;8572;22795;1292;5115;4686;1272;1068;914;8190;21154;371533
7,166.0862,3.78,P,[M+H]+,166.0862;167.0896;168.0929,57638700;6106490;365618,77.0388;79.0543;91.0543;93.0698;95.049;102.0466;103.0542;107.049;118.0651;120.0807;121.0844;126.1375;131.0491;131.9532;149.0599;166.0498;166.0863,32233;202758;182991;439828;158347;16231;2422519;650168;36876;35039292;17939;16078;992737;18162;203259;165598;597795
8,349.2375,9.37,P,[M+H]+,349.2375;350.2408;351.2442,6898650;1884703;57250,71.0495;74.4757;75.0443;77.0389;79.0544;79.5216;81.0337;81.07;83.0493;83.0857;83.5097;84.0806;85.0285;85.0648;91.0542;93.0699;95.0492;95.0855;95.0913;97.0285;97.0648;97.1012;99.0802;103.0547;105.0699;107.049;107.0855;109.0648;109.1011;111.044;111.0804;113.0609;113.0961;115.0539;117.0697;119.0491;119.0855;121.0649;121.1012;123.08;123.117;125.0962;128.0621;129.07;130.0773;131.0855;133.0655;133.1012;135.0804;135.1166;137.0605;137.0961;139.0751;139.9547;141.0696;142.0778;143.0855;144.0931;145.0642;145.1012;147.0439;147.0808;147.1168;149.0961;149.1326;151.1116;155.0858;157.1014;159.0808;159.1169;161.0961;161.1326;163.0387;163.1118;165.1271;169.101;171.1163;173.0964;173.1325;175.112;175.1483;177.1279;178.5207;179.1436;181.1222;183.117;185.1322;187.112;187.1479;189.1119;189.1275;191.142;195.1172;197.1326;199.1483;201.1278;201.1644;211.1483;213.1636;215.1436;215.1803;219.1749;227.1814;229.1947;233.1922;238.9875;239.1796;247.2055;257.1897;262.2166;275.2001;293.2118;331.2266;331.274;349.1648;349.1986,10005;1736;2543;1679;104337;1896;9887;147676;20963;24102;1679;3101;1888;4341;115140;105752;26845;84599;4154;1993;77654;15553;3077;2374;139648;23011;109099;38667;44721;2345;9874;1947;3555;3652;54884;2465;114405;12888;46121;16090;10194;16727;2835;20589;2858;82988;2604;119085;16918;35626;2219;10658;2845;1956;12382;2841;27336;3242;4429;155178;14934;9790;80516;71707;15855;11144;14035;30499;3528;86817;8637;33734;3823;37879;2888;20491;33816;8592;48607;12161;5095;15797;2101;16914;2534;24188;12190;11158;12846;4649;4931;2264;2769;21203;3354;4012;2580;9192;7905;4528;8500;3579;2256;26252;2894;2075;50727;13006;120513;4968;142124;2656;7661;2150;6889;52235
9,355.1023,8.74,P,[M+H]+,355.1024;356.1058;357.1091,31646832;6959855;1233997,79.0544;81.0329;83.0493;85.0286;89.033;89.0386;93.0333;95.049;107.0491;111.044;114.0911;117.0335;135.0334;135.0441;145.0284;163.0391;166.5807;176.1709;179.8343;181.0497;198.3834;211.0808;277.5034;326.3049;337.0927;355.1725,52552;10273;55584;12301;15948;396968;18266;41917;155247;45801;11858;578735;12716;1353602;1524921;13677125;11529;10173;11089;39812;15742;11512;11507;10623;18570;144164
10,245.0767,2.22,P,[M+H]+,245.0766;246.0799;247.0833,664982;82010;0,70.029;70.0655;73.0287;84.0446;84.0809;85.0285;86.0966;96.0081;96.2937;97.0286;108.4408;113.0345;115.039;116.9859;120.2452;133.0492;133.1012;149.9606;154.8899;168.0653;177.0073;181.425;198.9924;202.0017;217.0123;245.0081;245.0985,2796;3929;2593;1184;2034;2697;904;3154;594;1164;544;89528;1038;843;556;2971;639;636;668;1152;661;547;712;560;807;1012;4047
